Repetition,Max_CPU_Usage_us,Second_Max_CPU_Usage_us
1,1.6,9.5
1,7.7,3.2
2,9.1,9.5
2,23.3,3.2
3,54.0,9.8
3,13.1,3.2
4,19.9,9.8
4,19.0,1.6
5,11.3,17.9
5,24.0,15.9
6,1.6,18.2
6,0.2,13.2
7,1.6,18.4
7,11.5,13.2
8,11.9,18.4
8,0.2,13.2
9,4.9,18.0
9,0.2,24.2
10,3.3,18.1
10,1.6,20.1
11,4.8,18.2
11,0.2,20.1
12,4.8,18.4
12,1.6,20.1
13,3.3,20.6
13,0.2,24.2
14,3.2,12.9
14,0.2,8.3
15,4.8,12.7
15,0.7,3.3
16,61.3,11.3
16,83.6,4.8
17,12.7,10.0
17,14.2,39.7
18,16.4,9.7
18,34.9,11.7
19,8.1,6.5
19,7.4,6.2
20,33.9,6.2
20,1.6,6.2
21,4.8,9.8
21,1.6,44.3
22,6.3,10.9
22,1.6,11.3
23,4.9,4.8
23,6.0,3.2
24,4.8,4.8
24,1.6,3.1
25,9.7,9.7
25,3.2,41.9
26,6.5,8.1
26,1.6,14.3
27,6.5,6.3
27,29.0,3.3
28,4.8,6.2
28,1.6,1.6
29,6.5,8.2
29,1.6,12.7
30,5.0,6.3
30,1.6,3.2
1,3.3,7.9
1,0.2,2.2
2,4.8,7.8
2,0.2,28.6
3,8.1,7.9
3,1.6,53.2
4,6.5,7.9
4,0.2,79.4
5,4.9,4.8
5,0.2,79.7
6,6.3,9.7
6,0.2,56.5
7,6.6,20.1
7,0.2,29.2
8,4.8,79.8
8,0.2,18.0
9,4.9,33.9
9,0.2,82.3
10,4.9,21.1
10,0.2,56.4
11,8.1,57.8
11,0.0,30.6
12,1.6,79.6
12,3.0,28.2
13,20.6,60.3
13,0.2,58.1
14,1.6,27.9
14,1.6,79.7
15,1.6,54.2
15,0.0,29.0
16,1.6,70.6
16,0.2,26.2
17,1.6,30.2
17,1.6,81.4
18,1.6,26.2
18,0.2,57.1
19,1.6,54.1
19,1.6,28.7
20,1.6,78.6
20,0.2,48.8
21,1.6,56.5
21,0.2,81.4
22,1.6,29.5
22,0.2,77.8
23,0.2,54.3
23,0.2,55.6
24,1.6,79.6
24,1.6,28.1
25,1.6,81.5
25,0.2,81.1
26,0.2,27.9
26,0.2,28.0
27,1.6,46.4
27,0.3,67.2
28,0.2,78.9
28,0.0,56.5
29,0.2,81.4
29,0.2,28.2
30,1.6,30.6
30,0.2,0.2
