Repetition,Max_CPU_Usage_us,Second_Max_CPU_Usage_us
1,0.2,1.6
1,0.2,1.6
2,0.2,1.6
2,0.0,1.6
3,0.2,1.6
3,0.2,1.6
4,1.6,1.6
4,0.0,0.2
5,0.2,1.6
5,0.2,3.2
6,1.6,1.6
6,0.2,1.6
7,1.6,1.6
7,0.2,0.5
8,1.6,1.6
8,0.0,0.5
9,0.2,3.2
9,0.2,1.6
10,1.6,3.2
10,1.6,0.5
11,1.6,0.5
11,0.2,1.6
12,1.6,0.5
12,0.2,1.6
13,0.2,4.9
13,0.2,3.2
14,0.2,3.2
14,0.2,1.6
15,1.6,1.6
15,1.6,1.6
16,1.6,1.6
16,0.2,1.6
17,1.6,4.8
17,0.2,7.9
18,1.6,4.8
18,0.0,8.1
19,0.2,1.6
19,0.2,1.6
20,1.6,1.6
20,0.2,1.6
21,1.6,3.2
21,0.0,6.3
22,1.6,3.2
22,0.2,6.3
23,1.6,1.6
23,0.2,0.5
24,1.6,1.6
24,0.2,0.5
25,0.2,3.3
25,0.2,7.9
26,1.6,3.3
26,0.2,7.9
27,1.6,1.6
27,0.2,1.6
28,1.6,1.6
28,0.2,3.2
29,1.6,1.6
29,0.2,0.2
30,0.2,1.6
30,0.2,0.2
1,0.2,1.6
1,0.2,30.6
2,0.2,0.5
2,0.2,1.6
3,1.6,1.6
3,0.2,25.8
4,1.6,1.6
4,0.2,21.0
5,0.2,3.2
5,0.2,19.0
6,1.6,1.6
6,0.2,29.0
7,1.6,1.6
7,0.0,6.5
8,0.2,6.7
8,1.6,1.6
9,1.6,4.9
9,0.2,17.5
10,1.6,3.3
10,1.6,18.8
11,0.0,3.3
11,0.2,8.2
12,1.6,3.0
12,0.2,1.6
13,1.6,3.3
13,1.6,6.2
14,0.2,3.2
14,0.0,11.1
15,0.2,1.6
15,0.0,4.8
16,0.2,1.6
16,1.6,1.6
17,0.2,3.3
17,0.2,47.6
18,0.2,1.6
18,0.0,0.5
19,1.6,1.6
19,0.2,12.9
20,0.2,1.6
20,0.2,4.8
21,1.6,3.2
21,0.2,28.6
22,1.6,4.7
22,0.2,20.6
23,1.6,3.2
23,0.0,8.1
24,3.2,3.2
24,0.2,0.7
25,1.6,4.8
25,0.2,27.0
26,0.2,3.3
26,0.2,21.0
27,0.2,3.2
27,1.6,11.3
28,0.2,4.2
28,0.2,1.6
29,1.6,3.3
29,0.2,6.6
30,1.6,3.2
30,0.2,0.2
1,1.6,1.6
1,1.6,25.6
2,0.2,1.6
2,0.2,76.2
3,0.2,1.6
3,0.0,50.0
4,1.6,1.6
4,0.2,75.2
5,1.6,17.0
5,0.0,76.2
6,1.6,19.5
6,0.2,30.2
7,1.6,38.3
7,0.2,25.2
8,1.6,77.4
8,0.2,2.0
9,1.6,11.3
9,0.2,54.0
10,1.6,18.1
10,0.2,48.4
11,0.2,39.3
11,1.6,25.8
12,1.6,75.2
12,1.6,1.6
13,1.6,1.6
13,0.0,75.1
14,1.6,8.2
14,0.2,26.2
15,1.6,50.5
15,0.2,1.2
16,1.6,74.8
16,0.2,50.8
17,1.6,1.6
17,1.6,74.9
18,1.6,25.2
18,0.2,37.1
19,1.6,38.6
19,0.2,24.6
20,1.6,75.1
20,1.6,12.7
21,1.6,25.8
21,0.2,74.8
22,1.6,25.6
22,0.2,25.4
23,1.6,27.1
23,0.2,50.0
24,0.5,65.3
24,0.2,25.6
25,0.5,75.8
25,0.2,75.3
26,1.6,26.1
26,1.6,50.1
27,1.6,50.1
27,0.2,34.9
28,1.6,51.7
28,0.2,25.7
29,1.6,75.3
29,0.0,25.4
30,1.6,27.0
30,1.6,1.6
