Repetition,Max_CPU_Usage_us,Second_Max_CPU_Usage_us
1,1.7,4.8
1,9.5,3.0
2,3.2,23.4
2,18.9,16.6
3,17.3,8.7
3,9.8,17.5
4,19.4,7.7
4,7.0,29.0
5,13.2,3.2
5,9.7,30.6
6,15.6,1.6
6,33.3,33.3
7,3.3,0.2
7,0.5,1.6
8,3.2,0.5
8,0.5,1.6
9,3.2,8.2
9,0.2,1.6
10,1.6,1.6
10,0.5,3.2
11,3.2,0.2
11,0.5,3.1
12,3.3,1.6
12,1.6,1.6
13,1.6,1.6
13,0.5,1.6
14,4.8,0.2
14,1.6,3.2
15,3.3,1.6
15,0.5,1.6
16,3.3,1.6
16,0.5,0.5
17,4.8,0.2
17,1.6,3.2
18,3.3,0.5
18,0.5,1.6
19,4.8,19.7
19,0.5,9.8
20,3.2,10.2
20,0.5,21.9
21,3.3,13.7
21,0.5,0.5
22,3.3,1.6
22,1.6,0.2
23,4.8,1.6
23,0.2,0.2
24,4.9,0.5
24,16.0,0.2
25,14.3,0.5
25,0.5,0.2
26,3.2,0.5
26,0.5,2.0
27,1.6,4.9
27,0.2,0.5
28,1.6,0.7
28,0.2,0.2
29,0.2,1.6
29,0.2,0.2
30,0.5,1.6
30,0.2,0.2
1,1.6,0.2
1,24.6,1.6
2,1.6,1.6
2,0.2,25.8
3,1.6,1.6
3,1.6,25.4
4,0.2,1.6
4,0.2,25.4
5,1.6,1.6
5,24.2,24.6
6,0.2,1.6
6,39.7,35.5
7,1.6,0.5
7,1.6,3.2
8,1.6,1.6
8,0.2,8.2
9,1.5,0.2
9,0.2,6.6
10,1.6,1.6
10,0.2,9.7
11,1.6,1.6
11,0.2,4.9
12,1.6,0.2
12,1.6,6.3
13,0.2,1.6
13,0.2,9.7
14,0.2,3.0
14,0.2,27.9
15,0.5,13.2
15,0.2,9.8
16,0.2,0.5
16,0.2,6.5
17,0.2,1.6
17,1.6,9.7
18,0.2,1.6
18,0.2,4.8
19,1.6,0.5
19,0.2,9.7
20,1.6,1.6
20,0.2,4.9
21,1.6,1.6
21,0.2,6.5
22,0.5,0.5
22,0.2,6.5
23,1.6,0.5
23,0.2,9.5
24,0.5,0.5
24,0.2,6.5
25,10.2,1.6
25,6.2,9.7
26,0.5,0.5
26,9.5,8.2
27,13.9,1.6
27,9.7,8.1
28,12.9,0.5
28,6.7,8.1
29,15.4,1.6
29,4.5,8.1
30,10.6,1.6
30,1.7,8.1
1,67.2,0.2
1,21.3,1.6
2,10.7,1.6
2,15.8,25.0
3,24.9,0.5
3,1.6,26.2
4,6.0,0.2
4,0.2,24.6
5,4.7,0.5
5,25.8,24.6
6,3.3,0.2
6,53.2,57.1
7,3.3,1.6
7,1.6,9.7
8,3.2,1.6
8,51.6,11.5
9,17.5,1.6
9,2.0,11.1
10,4.8,0.5
10,1.6,14.8
11,1.6,0.5
11,0.2,13.1
12,1.6,0.5
12,0.2,11.5
13,1.6,1.6
13,1.6,14.8
14,0.5,0.5
14,1.6,11.3
15,1.6,0.5
15,0.2,16.4
16,1.6,1.6
16,0.2,9.5
17,1.6,0.5
17,0.2,14.5
18,1.6,1.6
18,0.2,14.5
19,0.2,0.5
19,0.2,11.5
20,1.6,1.6
