Repetition,Execution_Time_File1_ms,Execution_Time_File2_ms
1,65.545121,127.318349
2,66.744133,129.213975
3,64.999865,128.840811
4,64.060022,129.720261
5,64.18411,124.237954
6,64.023324,126.205392
7,64.443032,128.571352
8,66.05255,128.182326
9,64.461436,144.279841
10,63.884564,163.033675
11,65.403333,158.396721
12,64.683709,164.399599
13,64.455946,100.253421
14,64.631916,108.715038
15,64.010407,116.968136
16,197.066533,122.216573
17,70.602131,85.205482
18,64.007386,111.614659
19,65.626055,108.56414
20,65.652784,108.754435
21,63.849763,63.517557
22,70.096237,89.524071
23,63.170894,82.586848
24,63.372961,85.353094
25,65.639792,65.091283
26,63.343144,75.574994
27,65.879908,78.047302
28,66.491646,87.358378
29,64.917676,66.16477
30,66.056365,65.158074
31,30983.668529,65744.185282
32,30987.328759,66040.689033
33,31180.624653,66292.799499
34,32188.046962,68175.187717
35,31349.409826,64240.569759
36,31886.455019,64676.13312599999
37,31829.503503,65212.227380000004
38,31632.255887,66626.932601
39,31525.187247,63332.080542
40,32155.128931,64369.565134
41,32409.600657,66970.82411700001
42,32492.275366,64338.301439999996
43,32543.225864999997,62728.453107999994
44,32440.544855,65493.231261999994
45,32453.6278,63225.53742
46,32270.114565999997,63867.580622
47,32330.269556,61606.010408
48,32542.214772999996,63868.978078
49,32482.325666999997,62943.735648
50,32532.865334000002,64705.441083
51,32482.382603,59357.507894
52,32497.766792,64770.212207
53,32435.003708000004,63595.751114
54,32368.796007999998,61666.449264
55,32152.682376999997,55781.258394
56,32145.25276,64124.537092
57,32253.576789999996,63034.83142
58,32194.213402,65914.94000599999
59,32092.610643999997,41108.349605
60,32241.917823999996,35673.928558
