Repetition,RAM_Usage_File1_MB,RAM_Usage_File2_MB
1,2,0
2,0,0
2,2,0
3,0,0
3,2,0
4,0,0
4,2,0
5,0,0
5,2,3
6,0,1
6,2,0
7,0,1
7,2,0
8,0,1
8,2,0
9,0,0
9,2,0
10,0,0
10,2,0
11,0,1
11,2,0
12,0,2
12,2,0
13,0,0
13,2,2
14,0,2
14,2,0
15,0,1
15,2,0
16,0,2
16,2,0
17,0,0
17,2,2
18,0,0
18,2,0
19,0,2
19,2,0
20,0,0
20,2,0
21,0,0
21,2,2
22,0,2
22,2,0
23,0,3
23,2,0
24,0,0
24,2,0
25,0,0
25,2,1
26,0,3
26,2,0
27,0,3
27,2,0
28,0,3
28,2,0
29,0,0
29,2,1
30,0,2
30,2,0
1,8,8
1,17,8
2,8,8
2,14,8
3,8,8
3,12,8
4,8,8
4,9,13
5,8,8
5,10,14
6,8,15
6,9,9
7,8,21
7,11,8
8,8,17
8,10,10
9,8,8
9,17,14
10,8,17
10,10,11
11,8,19
11,13,17
12,8,21
12,14,10
13,8,8
13,18,13
14,8,16
14,18,18
15,8,17
15,13,9
16,8,14
16,18,15
17,8,8
17,10,19
18,8,12
18,14,19
19,8,14
19,14,15
20,8,23
20,13,12
21,8,10
21,12,21
22,8,13
22,9,13
23,8,20
23,15,12
24,8,22
24,8,14
25,8,20
25,12,28
26,8,17
26,18,16
27,8,18
27,16,19
28,8,22
28,12,13
29,8,31
29,12,13
30,8,13
30,13,18
