Repetition,RAM_Usage_File1_MB,RAM_Usage_File2_MB
1,27,7
2,13,7
2,40,7
3,13,7
3,34,88
4,13,20
4,40,7
5,13,7
5,40,67
6,13,13
6,40,7
7,13,20
7,40,7
8,13,27
8,40,7
9,13,7
9,40,47
10,13,13
10,40,7
11,13,20
11,40,7
12,13,27
12,40,7
13,13,7
13,40,34
14,13,13
14,40,7
15,13,20
15,40,7
16,13,27
16,40,7
17,13,7
17,40,40
18,13,13
18,40,27
19,13,47
19,40,7
20,13,54
20,40,7
21,13,7
21,40,20
22,13,7
22,40,20
23,13,47
23,40,7
24,13,47
24,40,7
25,13,7
25,40,40
26,13,7
26,40,40
27,13,61
27,40,7
28,13,61
28,40,7
29,13,6
29,40,7
30,13,7
30,40,34
1,220,220
1,858,2345
2,432,432
2,1282,220
3,432,432
3,858,220
4,432,432
4,1282,220
5,432,220
5,1282,220
6,432,432
6,1282,2559
7,432,644
7,1282,220
8,432,857
8,1282,220
9,432,220
9,1282,2132
10,432,432
10,1282,2132
11,432,644
11,1282,220
12,432,857
12,1282,220
13,432,220
13,1282,220
14,432,432
14,1282,2132
15,432,644
15,1283,220
16,432,857
16,1282,220
17,432,220
17,1283,1919
18,432,432
18,1282,220
19,432,644
19,1282,220
20,432,857
20,1283,220
21,432,220
21,1282,2771
22,432,432
22,1282,220
23,432,644
23,1283,220
24,432,857
24,1282,220
25,432,220
25,1282,2346
26,432,432
26,1282,220
27,432,644
27,1282,220
28,432,857
28,1282,220
29,432,220
29,1282,1070
30,432,432
30,1282,220
1,14980,14980
1,35382,28560
2,21768,14980
2,28563,116948
3,21768,28557
3,28563,28560
4,21768,35345
4,28572,48928
5,21768,28563
5,28563,110161
6,21768,35351
6,28563,28563
7,21768,42139
7,28579,14980
8,21768,35345
8,28563,21768
9,21768,14980
9,28563,103375
10,21768,21768
10,28563,14980
11,21768,28557
11,28566,14980
12,21768,35345
12,28563,14980
13,21768,14980
13,28563,69319
14,21768,21768
14,28591,14980
15,21768,28557
15,28563,14980
16,21768,35345
16,28563,14980
17,21768,14980
17,28563,55731
18,21768,21768
18,28568,28563
19,21768,28557
19,28563,14980
20,21768,35345
20,28573,21768
21,21768,14980
21,35382,103366
22,21768,21768
22,28582,21768
23,21768,28557
23,28563,62516
24,21768,35345
24,28563,21768
25,21768,55728
25,28563,82970
26,21768,21768
26,28563,62522
27,21768,28557
27,28563,21768
28,21768,35345
28,28577,21768
29,21768,55732
29,28582,62568
30,21768,21768
30,28581,28563
