Repetition,Execution_Time_File1_ms,Execution_Time_File2_ms
1,7.928245,17.709992
2,6.13856,18.698544
3,5.537781,19.711436
4,6.331371,19.890934
5,6.920178,12.485052
6,7.068762,11.992805
7,5.701104,12.293532
8,5.544905,13.538352
9,6.355885,10.648637
10,6.064212,10.063102
11,6.978654,11.060352
12,6.79982,12.641324
13,7.198669,10.88123
14,5.61975,12.55311
15,6.403708,10.803896
16,5.64666,11.053889
17,5.656888,11.778276
18,6.319387,13.046523
19,5.936141,14.099023
20,5.519294,15.15184
21,5.496419,13.146151
22,6.613527,11.890309
23,6.284725,11.337558
24,6.453345,11.345281
25,5.640576,10.332075
26,5.409715,12.581146
27,5.494517,10.589687
28,7.03676,11.561921
29,6.381369,9.411415
30,7.183733,8.400175
31,241.121663,502.395112
32,227.455491,529.048838
33,206.373647,611.105443
34,225.840284,611.261261
35,205.320179,323.233509
36,205.890978,325.598384
37,206.446437,332.186084
38,210.00781,341.969295
39,222.997839,384.452468
40,208.711144,400.058376
41,211.607526,390.236791
42,205.546832,397.480419
43,206.876885,337.696336
44,216.055082,366.394496
45,202.360782,368.466767
46,208.515072,378.280418
47,201.085992,338.285893
48,216.009879,341.16175
49,198.791523,324.345677
50,199.263054,319.903647
51,202.016909,310.88429
52,224.876887,332.329881
53,204.224629,358.156537
54,206.691868,353.63816
55,203.354794,280.002836
56,214.128792,288.549341
57,202.082484,269.620444
58,202.346017,285.701866
59,201.63137,235.450505
60,213.465615,248.404124
