Repetition,RAM_Usage_File1_MB,RAM_Usage_File2_MB
1,4,0
2,3,0
2,6,0
3,3,0
3,6,0
4,3,1
4,4,12
5,3,0
5,6,0
6,3,1
6,5,0
7,3,2
7,6,0
8,3,3
8,5,15
9,3,0
9,5,8
10,3,2
10,6,8
11,3,5
11,6,0
12,3,6
12,5,0
13,3,0
13,6,11
14,3,0
14,5,11
15,3,3
15,5,11
16,3,3
16,6,11
17,3,0
17,5,0
18,3,0
18,4,0
19,3,1
19,6,15
20,3,1
20,5,0
21,3,0
21,5,15
22,3,2
22,6,0
23,3,3
23,6,0
24,3,3
24,5,0
25,3,0
25,6,7
26,3,3
26,6,0
27,3,5
27,6,0
28,3,5
28,5,0
29,3,0
29,6,7
30,3,2
30,4,7
1,20,20
1,156,20
2,129,20
2,280,20
3,129,20
3,155,577
4,129,32
4,255,20
5,129,20
5,255,628
6,129,45
6,255,20
7,129,155
7,230,20
8,129,168
8,155,20
9,129,20
9,255,266
10,129,44
10,255,20
11,129,182
11,255,20
12,129,154
12,230,20
13,129,20
13,155,642
14,129,57
14,255,20
15,129,154
15,255,20
16,129,179
16,230,20
17,129,20
17,155,292
18,129,57
18,255,20
19,129,142
19,231,20
20,129,166
20,230,20
21,129,20
21,155,292
22,129,57
22,255,20
23,129,168
23,255,20
24,129,192
24,230,20
25,129,20
25,155,318
26,129,69
26,255,20
27,129,267
27,255,20
28,129,279
28,230,20
29,129,20
29,155,143
30,129,82
30,255,20
