Repetition,RAM_Usage_File1_MB,RAM_Usage_File2_MB
1,3044,5232
2,1048,1048
2,5307,5430
3,1048,1048
3,5524,5627
4,1048,1048
4,5678,5857
5,1048,1048
5,5906,6041
6,1048,1048
6,6106,6233
7,1048,1048
7,11036,11068
8,1048,1048
8,11685,11717
9,1048,1048
9,12334,12366
10,1048,1048
10,12983,13015
11,1048,1048
11,13632,13664
12,1048,1048
12,14281,14313
13,1048,1048
13,14930,14962
14,1048,1048
14,15579,15611
15,1048,1048
15,16228,16260
16,1048,1048
16,16877,16909
17,1048,1048
17,17526,17558
18,1048,1048
18,18175,18207
19,1048,1048
19,18824,18856
20,1048,1048
20,19473,19505
21,1048,1048
21,20122,20154
22,1048,1048
22,20771,20803
23,1048,1048
23,21420,21452
24,1048,1048
24,22069,22101
25,1048,1048
25,22718,22750
26,1048,1048
26,23367,23399
27,1048,1048
27,24016,24048
28,1048,1048
28,24665,24697
29,1048,1048
29,25314,25346
30,1048,1048
30,25963,25995
1,2096,2096
1,6317,10822
2,2096,2096
2,11013,11245
3,2096,2096
3,11402,11655
4,2096,2096
4,11821,12078
5,2096,2096
5,12191,12511
6,2096,2096
6,12688,12920
7,2096,2096
7,22840,22904
8,2096,2096
8,24202,24266
9,2096,2096
9,25564,25628
10,2096,2096
10,26926,26990
11,2096,2096
11,28288,28352
12,2096,2096
12,29650,29714
13,2096,2096
13,31012,31076
14,2096,2096
14,32374,32438
15,2096,2096
15,33736,33800
16,2096,2096
16,35098,35162
17,2096,2096
17,36460,36524
18,2096,2096
18,37822,37886
19,2096,2096
19,39184,39248
20,2096,2096
20,40546,40610
21,2096,2096
21,41908,41972
22,2096,2096
22,43270,43334
23,2096,2096
23,44632,44696
24,2096,2096
24,45994,46058
25,2096,2096
25,47356,47420
26,2096,2096
26,48718,48782
27,2096,2096
27,50080,50144
28,2096,2096
28,51442,51506
29,2096,2096
29,52804,52868
30,2096,2096
30,54166,54230
1,3144,3144
1,9956,16698
2,3144,3144
2,16927,17355
3,3144,3144
3,17616,18012
4,3144,3144
4,18228,18700
5,3144,3144
5,18871,19347
6,3144,3144
6,19637,20012
7,3144,3144
7,35412,35508
8,3144,3144
8,37551,37647
9,3144,3144
9,39690,39786
10,3144,3144
10,41829,41925
11,3144,3144
11,43968,44064
12,3144,3144
12,46107,46203
13,3144,3144
13,48246,48342
14,3144,3144
14,50385,50481
15,3144,3144
15,52524,52620
16,3144,3144
16,54663,54759
17,3144,3144
17,56802,56898
18,3144,3144
18,58941,59037
19,3144,3144
19,61080,61176
20,3144,3144
20,63219,63315
21,3144,3144
21,65358,65454
22,3144,3144
22,67497,67593
23,3144,3144
23,69636,69732
24,3144,3144
24,71775,71871
25,3144,3144
25,73914,74010
26,3144,3144
26,76053,76149
27,3144,3144
27,78192,78288
28,3144,3144
28,80331,80427
29,3144,3144
29,82470,82566
30,3144,3144
30,84609,84705
1,4192,4192
1,13415,11945
2,4192,4192
2,22566,23104
3,4192,4192
3,23438,23977
4,4192,4192
4,24376,24865
5,4192,4192
5,25250,25757
6,4192,4192
6,26170,26644
7,4192,4192
7,47089,47217
8,4192,4192
8,49941,50069
9,4192,4192
9,52793,52921
10,4192,4192
10,55645,55773
11,4192,4192
11,58497,58625
12,4192,4192
12,61349,61477
13,4192,4192
13,64201,64329
14,4192,4192
14,67053,67181
15,4192,4192
15,69905,70033
16,4192,4192
16,72757,72885
17,4192,4192
17,75609,75737
18,4192,4192
18,78461,78589
19,4192,4192
19,81313,81441
20,4192,4192
20,84165,84293
21,4192,4192
21,87017,87145
22,4192,4192
22,89869,89997
23,4192,4192
23,92721,92849
24,4192,4192
24,95573,95701
25,4192,4192
25,98425,98553
26,4192,4192
26,101277,101405
27,4192,4192
27,104129,104257
28,4192,4192
28,106981,107109
29,4192,4192
29,109833,109961
30,4192,4192
30,112685,112813
1,5240,5240
1,16263,27896
2,5240,5240
2,28372,29057
3,5240,5240
3,29371,30218
4,5240,5240
4,30626,31382
5,5240,5240
5,31872,32541
6,5240,5240
6,56572,56732
7,5240,5240
7,60297,60457
8,5240,5240
8,64022,64182
9,5240,5240
9,67747,67907
10,5240,5240
10,71472,71632
11,5240,5240
11,75197,75357
12,5240,5240
12,78922,79082
13,5240,5240
13,82647,82807
14,5240,5240
14,86372,86532
15,5240,5240
15,90097,90257
16,5240,5240
16,93822,93982
17,5240,5240
17,97547,97707
18,5240,5240
18,101272,101432
19,5240,5240
19,104997,105157
20,5240,5240
20,108722,108882
21,5240,5240
21,112447,112607
22,5240,5240
22,116172,116332
23,5240,5240
23,119897,120057
24,5240,5240
24,123622,123782
25,5240,5240
25,127347,127507
26,5240,5240
26,131072,131232
27,5240,5240
27,134797,134957
28,5240,5240
28,138522,138682
29,5240,5240
29,142247,142407
30,5240,5240
30,145972,146132
1,6288,6288
1,19767,33415
2,6288,6288
2,33583,34809
3,6288,6288
3,35334,36203
4,6288,6288
4,36749,37599
5,6288,6288
5,38197,38991
6,6288,6288
6,67697,67889
7,6288,6288
7,72167,72359
8,6288,6288
8,76637,76829
9,6288,6288
9,81107,81299
10,6288,6288
10,85577,85769
11,6288,6288
11,90047,90239
12,6288,6288
12,94517,94709
13,6288,6288
13,98987,99179
14,6288,6288
14,103457,103649
15,6288,6288
15,107927,108119
16,6288,6288
16,112397,112589
17,6288,6288
17,116867,117059
18,6288,6288
18,121337,121529
19,6288,6288
19,125807,125999
20,6288,6288
20,130277,130469
21,6288,6288
21,134747,134939
22,6288,6288
22,139217,139409
23,6288,6288
23,143687,143879
24,6288,6288
24,148157,148349
25,6288,6288
25,152627,152819
26,6288,6288
26,157097,157289
27,6288,6288
27,161567,161759
28,6288,6288
28,166037,166229
29,6288,6288
29,170507,170699
30,6288,6288
30,174977,175169
1,7336,7336
1,23169,38957
2,7336,7336
2,39718,40583
3,7336,7336
3,41276,42215
4,7336,7336
4,42906,43845
5,7336,7336
5,44561,45462
6,7336,7336
6,78892,7510
7,7336,7336
7,84107,84331
8,7336,7336
8,89322,89546
9,7336,7336
9,94537,94761
10,7336,7336
10,99752,99976
11,7336,7336
11,104967,105191
12,7336,7336
12,110182,110406
13,7336,7336
13,115397,115621
14,7336,7336
14,120612,120836
15,7336,7336
15,125827,126051
16,7336,7336
16,131042,131266
17,7336,7336
17,136257,136481
18,7336,7336
18,141472,141696
19,7336,7336
19,146687,146911
20,7336,7336
20,151902,152126
21,7336,7336
21,157117,157341
22,7336,7336
22,162332,162556
23,7336,7336
23,167547,167771
24,7336,7336
24,172762,172986
25,7336,7336
25,177977,178201
26,7336,7336
26,183192,183416
27,7336,7336
27,188407,188631
28,7336,7336
28,193622,193846
29,7336,7336
29,198837,199061
30,7336,7336
30,204052,204276
1,8384,8384
1,26674,44475
2,8384,8384
2,45368,46333
3,8384,8384
3,47220,48192
4,8384,8384
4,49054,50050
5,8384,8384
5,50951,51909
6,8384,8384
6,90010,53767
7,8384,8384
7,95970,96226
8,8384,8384
8,101930,102186
9,8384,8384
9,107890,108146
10,8384,8384
10,113850,114106
11,8384,8384
11,119810,120066
12,8384,8384
12,125770,126026
13,8384,8384
13,131730,131986
14,8384,8384
14,137690,137946
15,8384,8384
15,143650,143906
16,8384,8384
16,149610,149866
17,8384,8384
17,155570,155826
18,8384,8384
18,161530,161786
19,8384,8384
19,167490,167746
20,8384,8384
20,173450,173706
21,8384,8384
21,179410,179666
22,8384,8384
22,185370,185626
23,8384,8384
23,191330,191586
24,8384,8384
24,197290,197546
25,8384,8384
25,203250,203506
26,8384,8384
26,209210,209466
27,8384,8384
27,215170,215426
28,8384,8384
28,221130,221386
29,8384,8384
29,227090,227346
30,8384,8384
30,233050,233306
1,9432,9432
1,31661,52763
2,9432,9432
2,53849,54969
3,9432,9432
3,55717,57183
4,9432,9432
4,58206,59380
5,9432,9432
5,60461,61586
6,9432,9432
6,62769,63791
7,9432,9432
7,113050,113338
8,9432,9432
8,120043,120331
9,9432,9432
9,127036,127324
10,9432,9432
10,134029,134317
11,9432,9432
11,141022,141310
12,9432,9432
12,148015,148303
13,9432,9432
13,155008,155296
14,9432,9432
14,162001,162289
15,9432,9432
15,168994,169282
16,9432,9432
16,175987,176275
17,9432,9432
17,182980,183268
18,9432,9432
18,189973,190261
19,9432,9432
19,196966,197254
20,9432,9432
20,203959,204247
21,9432,9432
21,210952,211240
22,9432,9432
22,217945,218233
23,9432,9432
23,224938,225226
24,9432,9432
24,231931,232219
25,9432,9432
25,238924,239212
26,9432,9432
26,245917,246205
27,9432,9432
27,252910,253198
28,9432,9432
28,259903,260191
29,9432,9432
29,266896,267184
30,9432,9432
30,273889,274177
1,10480,10480
1,35687,58558
2,10480,10480
2,59534,61008
3,10480,10480
3,62456,63459
4,10480,10480
4,64321,65910
5,10480,10480
5,66793,68360
6,10480,10480
6,69563,70811
7,10480,10480
7,125393,125713
8,10480,10480
8,133163,133483
9,10480,10480
9,140933,141253
