Repetition,Max_CPU_Usage_us
1,1.7
1,9.5
2,3.2
2,18.9
3,17.3
3,9.8
4,19.4
4,7.0
5,13.2
5,9.7
6,15.6
6,33.3
7,3.3
7,0.5
8,3.2
8,0.5
9,3.2
9,0.2
10,1.6
10,0.5
11,3.2
11,0.5
12,3.3
12,1.6
13,1.6
13,0.5
14,4.8
14,1.6
15,3.3
15,0.5
16,3.3
16,0.5
17,4.8
17,1.6
18,3.3
18,0.5
19,4.8
19,0.5
20,3.2
20,0.5
21,3.3
21,0.5
22,3.3
22,1.6
23,4.8
23,0.2
24,4.9
24,16.0
25,14.3
25,0.5
26,3.2
26,0.5
27,1.6
27,0.2
28,1.6
28,0.2
29,0.2
29,0.2
30,0.5
30,0.2
1,1.6
1,24.6
2,1.6
2,0.2
3,1.6
3,1.6
4,0.2
4,0.2
5,1.6
5,24.2
6,0.2
6,39.7
7,1.6
7,1.6
8,1.6
8,0.2
9,1.5
9,0.2
10,1.6
10,0.2
11,1.6
11,0.2
12,1.6
12,1.6
13,0.2
13,0.2
14,0.2
14,0.2
15,0.5
15,0.2
16,0.2
16,0.2
17,0.2
17,1.6
18,0.2
18,0.2
19,1.6
19,0.2
20,1.6
20,0.2
21,1.6
21,0.2
22,0.5
22,0.2
23,1.6
23,0.2
24,0.5
24,0.2
25,10.2
25,6.2
26,0.5
26,9.5
27,13.9
27,9.7
28,12.9
28,6.7
29,15.4
29,4.5
30,10.6
30,1.7
1,67.2
1,21.3
2,10.7
2,15.8
3,24.9
3,1.6
4,6.0
4,0.2
5,4.7
5,25.8
6,3.3
6,53.2
7,3.3
7,1.6
8,3.2
8,51.6
9,17.5
9,2.0
10,4.8
10,1.6
11,1.6
11,0.2
12,1.6
12,0.2
13,1.6
13,1.6
14,0.5
14,1.6
15,1.6
15,0.2
16,1.6
16,0.2
17,1.6
17,0.2
18,1.6
18,0.2
19,0.2
19,0.2
20,1.6
20,0.2
21,0.5
21,0.2
22,1.6
22,0.2
23,1.6
23,0.2
24,0.5
24,1.6
25,0.5
25,0.2
26,1.6
26,1.6
27,1.6
27,0.2
28,1.6
28,0.2
29,1.6
29,0.2
30,0.2
30,0.2
1,0.5
1,11.3
2,0.2
2,0.2
3,0.2
3,0.2
4,1.6
4,1.6
5,1.6
5,26.2
6,1.6
6,26.2
7,1.6
7,0.2
8,1.6
8,1.6
9,0.5
9,0.2
10,1.6
10,0.2
11,0.3
11,0.2
12,1.6
12,0.2
13,1.6
13,0.2
14,0.2
14,0.2
15,1.6
15,0.2
16,0.5
16,1.6
17,0.5
17,0.2
18,0.2
18,1.6
19,1.6
19,0.2
20,1.6
20,0.2
21,1.6
21,1.6
22,1.6
22,0.2
23,0.5
23,0.2
24,1.6
24,0.2
25,0.2
25,0.2
26,0.2
26,0.2
27,1.6
27,0.2
28,1.6
28,0.2
29,1.6
29,1.6
30,1.6
30,0.2
1,0.5
1,25.0
2,1.6
2,1.6
3,0.2
3,0.2
4,0.2
4,0.2
5,0.5
5,24.2
6,1.6
6,1.6
7,1.6
7,0.2
8,1.6
8,0.2
9,1.6
9,1.6
10,1.6
10,0.2
11,1.6
11,0.2
12,0.5
12,1.6
13,0.5
13,0.2
14,1.6
14,0.2
15,0.2
15,0.2
16,1.6
16,0.2
17,0.3
17,0.2
18,1.6
18,0.2
19,1.6
19,0.2
20,1.6
20,0.2
21,1.6
21,0.2
22,1.6
22,0.2
23,1.6
23,0.2
24,0.5
24,0.2
25,0.5
25,0.2
26,1.6
26,0.2
27,1.6
27,1.6
28,0.5
28,0.2
29,0.5
29,0.2
30,0.5
30,0.2
1,0.5
1,24.6
2,1.6
2,1.6
3,1.6
3,0.2
4,1.6
4,0.2
5,0.5
5,26.2
6,0.5
6,1.6
7,1.6
7,0.2
8,0.5
8,1.6
9,1.6
9,0.2
10,0.5
10,0.2
11,1.6
11,0.2
12,0.5
12,0.2
13,1.6
13,0.2
14,0.2
14,0.2
15,1.6
15,1.6
16,1.6
16,0.2
17,0.5
17,0.2
18,1.6
18,0.2
19,1.6
19,0.2
20,1.6
20,0.2
21,1.6
21,0.2
22,1.6
22,0.2
23,1.6
23,0.2
24,0.5
24,0.2
25,1.6
25,0.2
26,0.2
26,0.2
27,1.6
27,0.2
28,1.6
28,1.6
29,0.2
29,0.2
30,1.6
30,0.2
1,1.6
1,24.6
2,0.5
2,0.2
3,0.2
3,0.2
4,1.6
4,0.2
5,1.6
5,25.4
6,0.5
6,1.6
7,1.6
7,0.2
8,0.5
8,0.2
9,0.5
9,0.2
10,1.6
10,0.2
11,0.2
11,0.2
12,1.6
12,0.2
13,1.6
13,0.2
14,0.2
14,0.2
15,0.5
15,1.6
16,1.6
16,1.6
17,1.6
17,0.2
18,0.5
18,0.2
19,1.6
19,1.6
20,1.6
20,0.2
21,1.6
21,0.2
22,1.6
22,0.2
23,1.6
23,0.2
24,1.6
24,0.2
25,1.6
25,0.2
26,0.5
26,0.2
27,1.6
27,0.5
28,1.6
28,0.2
29,1.6
29,0.2
30,1.6
30,0.2
1,1.6
1,24.6
2,1.6
2,0.2
3,1.6
3,1.6
4,0.5
4,0.2
5,0.5
5,24.2
6,0.5
6,0.2
7,1.6
7,1.6
8,0.5
8,1.6
9,1.6
9,0.2
10,0.5
10,0.2
11,1.6
11,0.2
12,1.6
12,0.2
13,1.6
13,0.2
14,1.6
14,0.2
15,1.6
15,0.2
16,0.5
16,0.2
17,1.6
17,0.2
18,1.6
18,1.6
19,1.6
19,1.6
20,1.6
20,0.2
21,1.6
21,0.2
22,1.6
22,0.2
23,0.5
23,0.2
24,0.5
24,0.2
25,0.5
25,0.2
26,1.6
26,0.2
27,0.5
27,0.2
28,1.6
28,0.2
29,1.6
29,1.6
30,0.5
30,0.2
1,1.6
1,24.2
2,1.6
2,0.2
3,1.6
3,1.6
4,1.6
4,1.6
5,1.6
5,25.8
6,1.6
6,98.4
