Repetition,Max_CPU_Usage_us
3,1.6
4,1.6
1,1.6
2,1.6
2,0.5
1,1.6
3,1.6
4,1.6
5,1.6
8,0.5
6,1.6
7,1.6
7,1.6
6,0.5
5,1.6
8,1.6
9,3.2
12,1.6
10,1.6
11,1.6
9,3.2
12,3.2
10,1.6
11,1.6
14,3.2
13,3.2
15,1.6
16,3.2
13,3.2
14,3.2
16,3.2
15,1.6
17,1.6
19,1.6
18,1.6
20,1.6
18,1.6
17,1.6
19,1.6
20,1.6
21,4.8
24,0.2
22,3.2
23,1.6
21,1.6
22,1.6
23,1.6
24,1.6
25,3.2
26,1.6
27,0.5
28,0.5
25,3.2
26,0.5
28,1.6
27,1.6
29,3.2
30,1.6
29,1.6
30,1.6
2,1.6
3,3.1
4,3.1
1,3.1
4,27.0
3,17.7
1,1.6
2,1.6
5,4.8
6,3.2
7,4.7
8,4.7
5,34.9
6,25.4
7,1.6
8,0.5
9,3.2
10,3.2
11,5.0
12,5.0
9,38.1
10,28.1
11,3.2
12,1.6
13,4.8
14,3.3
15,4.5
16,5.0
13,47.6
14,27.4
15,1.6
16,0.7
17,4.8
18,3.2
19,5.0
20,6.0
17,45.2
18,24.2
19,3.2
20,1.6
21,3.2
22,1.7
23,4.7
24,5.0
21,47.6
22,30.6
23,1.6
24,1.6
25,1.6
26,3.3
28,6.7
27,6.7
25,57.1
26,38.7
27,3.2
28,1.6
29,1.7
30,1.7
29,12.9
30,0.2
